t_i,min_t,max_t,length_t,g_mse,g_pct_min,k4_mse,k4_pct_min,l_mse,l_pct_min
196,1,41,21,13031.962059315667,1.022582705992186,15272.329491999639,1.0111269857462477,13330.716205658135,1.0089409220623475
197,1,41,23,13046.04275887295,1.0236875802843313,15288.1496407819,1.0121743819120155,13334.249020584548,1.0092083046616274
198,1,41,25,13045.374053375497,1.0236351087781999,15294.870430381861,1.012619341650057,13335.961576505993,1.0093379201844404
199,1,41,27,13054.927560616603,1.0243847465719458,15314.791921642234,1.013938273213197,13343.567937616355,1.0099136108580569
200,1,41,29,13013.872914238853,1.0211632998553708,15291.464834348635,1.0123938691670578,13315.92645232842,1.0078215532954073
201,1,41,31,13022.685292200567,1.0218547832453087,15304.151733759265,1.0132338239602185,13325.031287510223,1.0085106566160267
202,1,41,33,13032.318742453366,1.02261069395029,15317.660811016534,1.0141282122442397,13331.18757987727,1.008976598220474
203,1,41,35,13029.231658894862,1.0223684588789699,15316.168015834839,1.0140293795485993,13331.112557539605,1.0089709201229606
204,1,41,37,13019.755180122043,1.0216248653001458,15309.013097905688,1.0135556777074521,13322.229601421028,1.008298609813548
205,1,41,39,13034.888320731687,1.0228123217863092,15312.060795560506,1.013757455003103,13321.633956772228,1.008253528195133
206,1,41,41,13033.305790464554,1.0226881449297842,15329.17815698918,1.0148907350357508,13330.786012279146,1.0089462054061291
207,1,40,11,13149.424999118786,1.031799704191763,15291.986751669643,1.0124284234691945,13341.76955310659,1.0097774993620567
208,1,40,13,13131.563713610778,1.0303981775771103,15304.132431116928,1.0132325460004565,13347.279180438081,1.0101944978484318
209,1,40,15,13180.861460210517,1.0342664380038848,15358.375957080574,1.0168238182377796,13343.11611050091,1.0098794141307816
210,1,40,17,13105.489899734417,1.0283522361426685,15349.357659606414,1.0162267486193963,13348.34255413724,1.010274979738825
211,1,40,19,13126.519500411461,1.0300023718527318,15369.015779400503,1.0175282432881205,13349.421122515852,1.010356611644991
212,1,40,21,13178.459385609867,1.0340779537270008,15413.542772770394,1.0204762182263267,13348.649044942316,1.010298176625677
213,1,40,23,13190.475472872407,1.0350208234938434,15428.611717763131,1.021473879842838,13346.305686711192,1.0101208185619421
214,1,40,25,13199.012584348997,1.0356907074695143,15429.193194928504,1.0215123773918735,13346.249997265353,1.0101166036825637
215,1,40,27,13209.213424761927,1.0364911397409844,15445.155762660215,1.0225692026131856,13347.172150517084,1.0101863972433696
216,1,40,29,13126.701510468249,1.0300166536880795,15429.043945413143,1.0215024961086894,13348.09766049681,1.0102564448595603
217,1,40,31,13130.01768938803,1.030276865250844,15439.694101889489,1.022207605347021,13348.501587965757,1.0102870162817315
218,1,40,33,13127.822539585106,1.0301046178014335,15437.928204995203,1.0220906915517292,13348.78701248887,1.010308618758079
219,1,40,35,13125.483495450077,1.02992107935418,15439.91153173383,1.022222000608938,13348.126534217072,1.0102586301793508
220,1,40,37,13130.877531359429,1.0303443347175165,15443.180912628948,1.0224384547688268,13350.348076209608,1.0104267685292916
221,1,40,39,13134.979530804918,1.0306662074849369,15451.063277713603,1.022960318316413,13349.134015394937,1.0103348818205136
222,1,40,40,13236.089390044748,1.038600023819987,15469.855151884642,1.024204461922471,13343.800186559634,1.009931188718043
223,1,39,11,13412.23612021983,1.052421779836024,15443.700297050536,1.0224728413766406,13326.162258262557,1.0085962546181206
224,1,39,13,13399.247016264408,1.0514025600891668,15463.934524036149,1.0238124780674012,13330.681172075574,1.0089382705307608
225,1,39,15,13460.098588485294,1.056177417865938,15517.373217451832,1.0273504651848167,13331.293123019834,1.0089845862980784
226,1,39,17,13360.503097301955,1.0483624298836736,15515.513110344024,1.0272273140640875,13333.434170925048,1.0091466324188074
227,1,39,19,13416.354028380936,1.052744900917197,15543.712897271382,1.0290943223400342,13334.47738357103,1.0092255884113217
228,1,39,21,13436.797350980249,1.0543490329771221,15581.310517717098,1.0315835279751289,13332.245258767482,1.0090566490968313
229,1,39,23,13455.68231019011,1.0558308844898472,15587.59847459197,1.0319998313874355,13332.442379312724,1.0090715682490814
